Date,Continent,Country,Population,Total Tests,Total Cases,Active Cases,Critical Cases,Recovered,Total Deaths
2024-03-15,South America,South America,UNKNOWN,UNKNOWN,70006400,1989892,8953,66650237,1366271
2024-03-15,Europe,Germany,83883596,122332384,38824874,401477,UNKNOWN,38240600,182797
2024-03-15,Europe,Poland,37739785,39302679,6661293,UNKNOWN,UNKNOWN,UNKNOWN,120586
2024-03-15,South America,Chile,19250195,50382097,5376599,59652,7,5252450,64497
2024-03-15,Europe,Czechia,10736784,57821802,4758857,524,3,4714821,43512
2024-03-15,North America,USA,334805269,1186824416,111667511,957750,1428,109492149,1217612
2024-03-15,North America,North America,UNKNOWN,UNKNOWN,131727016,2707879,6583,127325466,1693671
2024-03-15,Europe,Europe,UNKNOWN,UNKNOWN,253289535,2557289,4497,248631264,2100982
2024-03-15,Oceania,Oceania,UNKNOWN,UNKNOWN,14864381,111966,35,14719549,32866
2024-03-15,All,All,UNKNOWN,UNKNOWN,704220486,22133705,35330,675080777,7006004
2024-03-15,Oceania,Australia,26068792,81916639,11833871,8901,7,11800649,24321
2024-03-15,North America,Canada,38388419,66572774,4939288,12343,99,4868302,58643
2024-03-15,Europe,Belgium,11668278,37454182,4861059,1452,UNKNOWN,4825231,34376
